loId,title,category
16,Tour iniciado Tours para usuarios 16,Tours para usuarios
17,Tour iniciado Tours para usuarios 17,Tours para usuarios
184,Tour terminado Tours para usuarios 184,Tours para usuarios
185,Tour terminado Tours para usuarios 185,Tours para usuarios
71525,Perfil de usuario visto Sistema 71525,Sistema
176958,Informe usuario del curso visto Sistema 176958,Sistema
176959,Informe usuario del curso visto Sistema 176959,Sistema
176962,Informe usuario del curso visto Sistema 176962,Sistema
176964,Informe usuario del curso visto Sistema 176964,Sistema
176965,Informe usuario del curso visto Sistema 176965,Sistema
176967,Informe usuario del curso visto Sistema 176967,Sistema
176972,Informe usuario del curso visto Sistema 176972,Sistema
176977,Informe usuario del curso visto Sistema 176977,Sistema
176978,Informe usuario del curso visto Sistema 176978,Sistema
177445,Informe usuario del curso visto Sistema 177445,Sistema
177448,Informe usuario del curso visto Sistema 177448,Sistema
177451,Informe usuario del curso visto Sistema 177451,Sistema
177454,Informe usuario del curso visto Sistema 177454,Sistema
177455,Informe usuario del curso visto Sistema 177455,Sistema
178142,Informe usuario del curso visto Sistema 178142,Sistema
178315,Informe usuario del curso visto Sistema 178315,Sistema
178871,Informe usuario del curso visto Sistema 178871,Sistema
178872,Informe usuario del curso visto Sistema 178872,Sistema
178888,Informe usuario del curso visto Sistema 178888,Sistema
179435,Informe usuario del curso visto Sistema 179435,Sistema
179436,Informe usuario del curso visto Sistema 179436,Sistema
179438,Informe usuario del curso visto Sistema 179438,Sistema
179659,Informe usuario del curso visto Sistema 179659,Sistema
180493,Informe usuario del curso visto Sistema 180493,Sistema
180577,Tiempo límite del cuestionario excedido Cuestionario 180577,Cuestionario
606697,Usuario calificado Sistema 606697,Sistema
606703,Usuario calificado Sistema 606703,Sistema
4552817,Tema visto Foro 4552817,Foro
4552827,Módulo de curso visto Foro 4552827,Foro
4552828,Módulo de curso visto Foro 4552828,Foro
4552829,Módulo de curso visto Diálogo 4552829,Diálogo
4552830,Módulo de curso visto Diálogo 4552830,Diálogo
4552850,Módulo de curso visto URL 4552850,URL
4552851,Módulo de curso visto Foro 4552851,Foro
4552852,Se ha visualizado el estado de la entrega. Tarea 4552852,Tarea
4552853,Se ha visualizado el estado de la entrega. Tarea 4552853,Tarea
4552854,Se ha visualizado el estado de la entrega. Tarea 4552854,Tarea
4552855,Se ha visualizado el estado de la entrega. Tarea 4552855,Tarea
4552859,Se ha visualizado el estado de la entrega. Tarea 4552859,Tarea
4552862,Se ha visualizado el estado de la entrega. Tarea 4552862,Tarea
4552863,Módulo de curso visto Página 4552863,Página
4552864,Módulo de curso visto Foro 4552864,Foro
4552865,Módulo de curso visto Página 4552865,Página
4552866,Módulo de curso visto Página 4552866,Página
4552867,Módulo de curso visto Página 4552867,Página
4552868,Módulo de curso visto Cuestionario 4552868,Cuestionario
4552869,Se ha visualizado el estado de la entrega. Tarea 4552869,Tarea
4552870,Módulo de curso visto Página 4552870,Página
4552871,Módulo de curso visto Página 4552871,Página
4552874,Módulo de curso visto Página 4552874,Página
4552875,Módulo de curso visto Página 4552875,Página
4552876,Módulo de curso visto Taller 4552876,Taller
4552878,Módulo de curso visto Página 4552878,Página
4552880,Módulo de curso visto Cuestionario 4552880,Cuestionario
4552882,Se ha visualizado el estado de la entrega. Tarea 4552882,Tarea
4552883,Módulo de curso visto Página 4552883,Página
4552884,Módulo de curso visto URL 4552884,URL
4552887,Módulo de curso visto Recurso 4552887,Recurso
4552888,Módulo de curso visto Recurso 4552888,Recurso
4552889,Módulo de curso visto Recurso 4552889,Recurso
4552890,Módulo de curso visto Recurso 4552890,Recurso
4552894,Módulo de curso visto Página 4552894,Página
4552895,Módulo de curso visto Taller 4552895,Taller
4552896,Tema visto Foro 4552896,Foro
4552897,Módulo de curso visto Página 4552897,Página
4552898,Tema visto Foro 4552898,Foro
4552899,Módulo de curso visto Foro 4552899,Foro
4552900,Se ha visualizado el estado de la entrega. Tarea 4552900,Tarea
4553308,Módulo de curso visto URL 4553308,URL
4553312,Módulo de curso visto URL 4553312,URL
4580704,Módulo de curso visto Foro 4580704,Foro
4601191,Tema visto Foro 4601191,Foro
4611264,Módulo de curso visto URL 4611264,URL
4611289,Módulo de curso visto URL 4611289,URL
4641656,Formulario de entrega visto. Tarea 4641656,Tarea
4641841,Módulo de curso visto Página 4641841,Página
4655937,Módulo de curso visto URL 4655937,URL
4656390,Módulo de curso visto URL 4656390,URL
4657687,Se ha visualizado el estado de la entrega. Tarea 4657687,Tarea
4665270,Se ha visualizado el estado de la entrega. Tarea 4665270,Tarea
4665271,Se ha visualizado el estado de la entrega. Tarea 4665271,Tarea
4665489,Módulo de curso visto Recurso 4665489,Recurso
4718517,Módulo de curso visto Recurso 4718517,Recurso
4725169,Módulo de curso visto URL 4725169,URL
4774396,Se ha visualizado el estado de la entrega. Tarea 4774396,Tarea
4774398,Se ha visualizado el estado de la entrega. Tarea 4774398,Tarea
4775008,Módulo de curso visto URL 4775008,URL
4779571,Módulo de curso visto URL 4779571,URL
