timecreated,userid,contextid,contextinstanceid,contextlevel,component,eventname,other
1718880326,13,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1718880274,13,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1718879955,13,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1718879949,13,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1718879704,13,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1718879339,13,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1718879149,13,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1718879107,12,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1718879085,3,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1718879060,5,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1718878843,5,111,54,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1718878824,5,111,54,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1718878807,5,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1718609222,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718609107,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718609106,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718609056,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718609014,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718609001,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718368191,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718362966,12,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718362827,12,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718362788,12,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718362709,12,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718360169,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718268904,5,87,45,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718268883,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718265368,5,36,22,70,mod_url,\mod_url\event\course_module_viewed,null
1718265335,5,35,21,70,mod_url,\mod_url\event\course_module_viewed,null
1718265326,5,34,20,70,mod_url,\mod_url\event\course_module_viewed,null
1718265309,5,33,19,70,mod_url,\mod_url\event\course_module_viewed,null
1718265265,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718265214,5,29,15,70,mod_url,\mod_url\event\course_module_viewed,null
1718265194,5,29,15,70,mod_url,\mod_url\event\course_module_viewed,null
1718265176,5,28,14,70,mod_url,\mod_url\event\course_module_viewed,null
1718265131,5,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1718265118,5,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1718264205,12,87,45,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718264117,12,87,45,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718263904,12,87,45,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718263687,12,87,45,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718263173,5,87,45,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718103575,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718103550,5,87,45,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718095058,5,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1718026149,12,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718026103,12,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718019504,12,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718019370,12,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718019369,13,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718014154,5,87,45,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1718014131,5,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1717748106,5,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1717747515,10,42,28,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717747511,10,41,27,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717747506,10,41,27,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717747502,10,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717747496,10,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1717747489,10,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1717747481,10,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1717747466,10,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1717747025,12,29,15,70,mod_url,\mod_url\event\course_module_viewed,null
1717747020,12,28,14,70,mod_url,\mod_url\event\course_module_viewed,null
1717746995,12,28,14,70,mod_url,\mod_url\event\course_module_viewed,null
1717746913,12,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1717746890,12,43,29,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717746883,12,42,28,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717746876,12,41,27,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717746861,12,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717746847,12,19,5,70,mod_feedback,\mod_feedback\event\response_submitted,"{""cmid"":""5"",""instanceid"":""1"",""anonymous"":""1""}"
1717746825,12,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1717746812,12,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1717746663,12,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1717746202,13,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1717746195,13,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1717746178,13,59,31,70,mod_externalcontent,\mod_externalcontent\event\course_module_viewed,null
1717745480,3,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717500089,3,42,28,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717499247,3,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717498976,3,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717498972,3,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1717498969,3,70,32,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717498313,3,19,5,70,mod_feedback,\mod_feedback\event\course_module_viewed,"{""anonymous"":""1""}"
1717498310,3,76,34,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717498307,3,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1717498148,3,29,15,70,mod_url,\mod_url\event\course_module_viewed,null
1717498145,3,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1717498141,3,25,11,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717497759,3,75,33,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717497756,3,28,14,70,mod_url,\mod_url\event\course_module_viewed,null
1717497223,3,27,13,70,mod_url,\mod_url\event\course_module_viewed,null
1717497219,3,44,30,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717497213,3,40,26,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717496995,3,70,32,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717496992,3,17,3,70,mod_url,\mod_url\event\course_module_viewed,null
1717496986,3,15,1,70,mod_forum,\mod_forum\event\course_module_viewed,null
1717422525,3,82,40,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
1717422500,3,77,35,70,mod_quiz,\mod_quiz\event\course_module_viewed,null
